CMDLINE python Benchmark.py
MEM 3161.125000 1777130070.3706
MEM 3167.375000 1777130070.4715
MEM 3173.625000 1777130070.5722
MEM 3179.625000 1777130070.6727
MEM 3184.875000 1777130070.7732
MEM 3190.500000 1777130070.8737
MEM 3196.500000 1777130070.9741
MEM 3201.375000 1777130071.0746
MEM 3206.875000 1777130071.1750
MEM 3213.500000 1777130071.2755
MEM 3218.750000 1777130071.3760
MEM 3218.750000 1777130071.4765
MEM 3218.750000 1777130071.5770
MEM 3218.750000 1777130071.6776
MEM 3218.750000 1777130071.7781
MEM 3218.750000 1777130071.8786
MEM 3218.750000 1777130071.9790
MEM 3218.750000 1777130072.0795
MEM 3218.750000 1777130072.1799
MEM 3218.750000 1777130072.2805
MEM 3218.750000 1777130072.3810
MEM 3218.750000 1777130072.4814
MEM 3218.750000 1777130072.5819
MEM 3218.750000 1777130072.6824
MEM 3218.750000 1777130072.7829
MEM 3218.750000 1777130072.8833
MEM 3218.750000 1777130072.9839
MEM 3218.750000 1777130073.0843
MEM 3218.750000 1777130073.1847
MEM 3218.750000 1777130073.2853
MEM 3218.750000 1777130073.3858
MEM 3218.750000 1777130073.4864
MEM 3218.750000 1777130073.5870
MEM 3218.750000 1777130073.6876
MEM 3218.750000 1777130073.7880
MEM 3218.750000 1777130073.8887
MEM 3218.750000 1777130073.9893
MEM 3218.750000 1777130074.0898
MEM 3218.750000 1777130074.1902
MEM 3218.750000 1777130074.2906
MEM 3218.750000 1777130074.3910
MEM 3218.750000 1777130074.4916
MEM 3218.750000 1777130074.5920
MEM 3218.750000 1777130074.6925
MEM 3218.750000 1777130074.7929
MEM 3218.750000 1777130074.8934
